idBike,latitude_unlock,longitude_unlock,latitude_lock,longitude_lock
8051.0,40.389258643579105,-3.6903589643353483,40.4013216,-3.6863218
5982.0,40.4440297,-3.6956047,40.4440297,-3.6956047
3471.0,40.44156,-3.70164,40.44156,-3.70164
6231.0,40.4101564,-3.7025024,40.4260957,-3.713479
7276.0,40.4309524,-3.6993465,40.4306458,-3.7133412
6434.0,40.3972616,-3.6945025,40.3972616,-3.6945025
786.0,40.4070358,-3.7110513,40.3914722,-3.6941944
4640.0,40.39425,-3.6937222,40.4122047,-3.6991147
8037.0,40.4181518,-3.6984368,40.398247,-3.716591
7800.0,40.42677,-3.68958,40.46361,-3.68514
6585.0,40.429887,-3.6712823,40.429887,-3.6712823
5761.0,40.4112744,-3.7088337,40.40635,-3.670422
7422.0,40.4082805,-3.6784838,40.4075685,-3.6902255
5264.0,40.3928821,-3.6975708,40.3928821,-3.6975708
2969.0,40.3974444,-3.7065277,40.4219665,-3.7224983
4887.0,40.389258643579105,-3.6903589643353483,40.40765396169372,-3.7172213778842007
6326.0,40.4269483,-3.7035918,40.40248333540473,-3.660188083470652
2021.0,40.4309524,-3.6993465,40.4309524,-3.6993465
3405.0,40.45673408797698,-3.708002730875242,40.44175,-3.7144722
4415.0,40.4053153,-3.7071259,40.4053153,-3.7071259
6568.0,40.39901531507069,-3.6607768678037744,40.39901531507069,-3.6607768678037744
6304.0,40.4253944,-3.7170448,40.4239757,-3.7020842
5801.0,40.422265,-3.698025,40.4222283,-3.6979866
2493.0,40.4385127,-3.6831578,40.4108472,-3.693225
7723.0,40.4266828,-3.700423,40.4344731,-3.7015686
5347.0,40.4053153,-3.7071259,40.4083684,-3.6933463
7392.0,40.4273005,-3.6706024,40.4441388,-3.6751388
6322.0,40.4318611,-3.6714166,40.4346388,-3.674
7995.0,40.4044722,-3.6959166,40.400789,-3.6744
6063.0,40.4168,-3.71183,40.4168,-3.71183
7655.0,40.4232649,-3.7038312,40.4232649,-3.7038312
1640.0,40.4138846,-3.7049407,40.4138846,-3.7049407
7215.0,40.4411388,-3.7080833,40.4457414,-3.6917932
7624.0,40.4215246,-3.6884369,40.43272086245887,-3.6485306152875148
7061.0,40.398247,-3.716591,40.38895,-3.70017
7414.0,40.4239447,-3.6758383,40.41053,-3.65779
7747.0,40.4239447,-3.6758383,40.4200783,-3.7065376
7626.0,40.4112744,-3.7088337,40.3962222,-3.6983055
4176.0,40.4083061,-3.7007111,40.4132798,-3.6956178
1749.0,40.4051451,-3.6803874,40.4114041,-3.7114762
5482.0,40.44156,-3.70164,40.4416449,-3.7015333
4139.0,40.4385127,-3.6831578,40.4418402,-3.7040344
7997.0,40.44635,-3.71383,40.423681,-3.710537
